sat_id,x,y,z,Vx,Vy,Vz
143,99.98563004864508,99.99080311468866,99.98269141525901,99.96494272470802,99.97638379377494,99.9779058006353
144,99.84130032532991,99.73533984990888,99.9462920023937,99.9352554041169,99.93144807403674,99.77743732057867
145,99.99313452584418,99.99347208045079,99.99723410357963,99.71876496058809,99.98493234171696,99.99632178401414
146,99.97974339496447,99.98360109259391,99.99209983243456,99.99179841149443,99.9775033110349,99.68306106789855
147,99.99301751348966,99.99124026134967,99.98801971703512,99.99229837853859,99.99013279821179,99.98705245116975
148,99.89992135143562,99.40874953238502,98.90004829788825,99.82497780069423,99.85289747244201,99.78261948812245
149,99.75136928221058,98.53167505652613,99.87034934526477,98.85484841298755,98.45833649289423,99.47345340736663
150,99.46982929862534,99.48547702953469,99.47698676620446,93.60121778503394,95.66230253067347,96.21727381374097
151,99.86758676625739,99.85754148924174,99.54539005351091,99.58407893918795,99.93357583189994,99.39874209580049
152,99.96788602527091,99.98032843725323,99.98315747548557,99.97479098034992,99.97560301700373,99.9701853476652
153,94.75823231122651,94.16425045725208,97.88538480225306,91.2713215851016,90.66986063615775,79.4248883507074
154,99.18967532182404,99.2121315557653,98.86821900125156,98.81403455519741,98.17770320829038,99.34641283422233
155,99.93157132755788,99.8687435081412,99.88755247255476,99.91771961003136,99.93758642063162,99.9199754046229
156,99.96097461476431,99.98227399089042,99.96045883502327,99.8976186892133,99.95945726892882,99.88146528451988
157,99.99101849514489,99.92820379062844,99.96894235565182,99.72226475353646,99.93447391110588,99.95020680841932
158,99.94294318568724,99.81536364702274,99.96312238003772,99.8862897892387,99.30673992164837,99.87064746275226
159,99.6469960678188,99.52803527298222,99.87454833914433,98.57075452456921,98.8449809999147,98.17862771508776
160,99.984591201747,99.94476273164375,99.98187298261308,99.97377688881629,99.92303586589351,99.96836969071667
161,99.71967985165118,98.79598852921954,99.24897074268432,99.63245933442822,99.45141616268053,99.60987872836533
162,97.61457641367271,94.47907630008667,97.47694633857833,95.13544833289448,97.66094417427811,95.37944266722938
163,99.8559858969508,99.00423947568052,99.91084230719983,99.87507257628788,99.87717713046459,99.80325236818162
164,99.72285256969961,99.49742171666418,99.41471172538225,98.53065357325958,97.97169534427978,98.47776808881792
165,99.78933971321241,99.93010908573274,99.92416627559012,99.80469187458728,99.85857448837547,99.84323511956889
166,99.96331791506312,99.95060182863098,99.88760390911347,99.8392536653589,99.97303078515525,99.69151381349144
